p[GeV]           lambdabar1        lambdabar2      lambdabar3      lambdabar4     lambdabar5      lambdabar6      lambdabar7      lambdabar8
3.4740600E+01	8.892300E-01	-4.1113600E-06	-2.7134000E-09	0.0000000E+00	0.0000000E+00	3.2773200E-04	0.0000000E+00	5.6295400E-08 
3.6740600E+01	8.88300E-01  	-3.6113600E-06	-2.4134000E-09	0.0000000E+00	0.0000000E+00	2.773200E-04	0.0000000E+00	5.6295400E-08 
3.8740600E+01	8.8530300E-01  	-2.1113600E-06	-2.1134000E-09	0.0000000E+00	0.0000000E+00	2.2773200E-04	0.0000000E+00	5.6295400E-08 
4.0740600E+01	8.8272300E-01	-1.6113600E-06	-1.6134000E-09	0.0000000E+00	0.0000000E+00	1.5773200E-04	0.0000000E+00	5.6295400E-08 


		




































							
